pxcor,pycor,patch ID,block ID,patch richness
72,11,72_11,503,10
66,79,66_79,3903,11
89,12,89_12,604,13
93,14,93_14,704,3
83,43,83_43,2104,5
38,68,38_68,3401,7
29,4,29_4,201,9
37,71,37_71,3501,2
40,1,40_1,2,9
73,9,73_9,403,4
9,24,9_24,1200,7
63,43,63_43,2103,10
40,40,40_40,2002,4
47,87,47_87,4302,4
22,36,22_36,1801,12
63,91,63_91,4503,16
73,72,73_72,3603,7
17,8,17_8,400,3
5,49,5_49,2400,5
79,5,79_5,203,8
53,83,53_83,4102,21
65,35,65_35,1703,9
12,21,12_21,1000,0
35,12,35_12,601,5
77,96,77_96,4803,6
48,56,48_56,2802,5
23,48,23_48,2401,9
85,68,85_68,3404,10
71,52,71_52,2603,3
9,71,9_71,3500,3
13,26,13_26,1300,18
28,12,28_12,601,2
21,71,21_71,3501,4
91,33,91_33,1604,7
55,17,55_17,802,7
87,17,87_17,804,15
43,34,43_34,1702,3
5,35,5_35,1700,4
81,69,81_69,3404,21
69,20,69_20,1003,2
20,85,20_85,4201,6
83,9,83_9,404,13
85,38,85_38,1904,5
85,2,85_2,104,6
0,45,0_45,2200,8
60,77,60_77,3803,5
88,89,88_89,4404,5
87,44,87_44,2204,5
65,61,65_61,3003,5
35,33,35_33,1601,4
59,23,59_23,1102,4
17,53,17_53,2600,5
4,31,4_31,1500,5
33,50,33_50,2501,4
83,44,83_44,2204,2
77,74,77_74,3703,3
55,8,55_8,402,7
59,64,59_64,3202,8
51,29,51_29,1402,13
60,52,60_52,2603,5
58,22,58_22,1102,4
76,36,76_36,1803,4
54,22,54_22,1102,5
76,7,76_7,303,15
45,17,45_17,802,16
18,61,18_61,3000,9
29,13,29_13,601,3
13,79,13_79,3900,4
64,76,64_76,3803,5
79,79,79_79,3903,4
40,99,40_99,4902,6
18,66,18_66,3300,6
45,87,45_87,4302,8
11,8,11_8,400,2
44,42,44_42,2102,10
79,44,79_44,2203,4
4,41,4_41,2000,6
39,15,39_15,701,5
83,78,83_78,3904,6
30,83,30_83,4101,13
59,28,59_28,1402,21
7,91,7_91,4500,3
50,43,50_43,2102,8
9,52,9_52,2600,13
81,48,81_48,2404,6
13,62,13_62,3100,11
29,19,29_19,901,6
50,49,50_49,2402,4
22,20,22_20,1001,9
39,93,39_93,4601,4
40,41,40_41,2002,6
54,20,54_20,1002,6
46,69,46_69,3402,13
58,35,58_35,1702,4
52,92,52_92,4602,3
10,34,10_34,1700,3
32,73,32_73,3601,15
13,53,13_53,2600,5
4,53,4_53,2600,3
60,12,60_12,603,7
52,22,52_22,1102,3
34,93,34_93,4601,16
17,39,17_39,1900,3
96,81,96_81,4004,6
89,15,89_15,704,3
99,15,99_15,704,24
7,7,7_7,300,2
27,13,27_13,601,7
75,92,75_92,4603,6
39,84,39_84,4201,7
55,79,55_79,3902,3
31,9,31_9,401,3
48,71,48_71,3502,5
6,74,6_74,3700,8
73,1,73_1,3,14
63,57,63_57,2803,5
22,74,22_74,3701,3
76,65,76_65,3203,4
78,68,78_68,3403,4
17,93,17_93,4600,15
74,10,74_10,503,4
41,78,41_78,3902,9
2,72,2_72,3600,7
55,89,55_89,4402,5
47,51,47_51,2502,13
7,65,7_65,3200,3
78,36,78_36,1803,2
85,0,85_0,4,11
16,18,16_18,900,7
40,74,40_74,3702,7
24,40,24_40,2001,5
59,93,59_93,4602,5
99,69,99_69,3404,19
41,1,41_1,2,6
78,73,78_73,3603,5
54,41,54_41,2002,7
19,33,19_33,1600,4
3,50,3_50,2500,2
53,7,53_7,302,3
61,8,61_8,403,4
56,43,56_43,2102,9
27,4,27_4,201,4
37,72,37_72,3601,6
1,99,1_99,4900,7
53,92,53_92,4602,9
66,70,66_70,3503,2
88,48,88_48,2404,5
69,10,69_10,503,8
4,18,4_18,900,4
92,69,92_69,3404,5
75,89,75_89,4403,5
31,41,31_41,2001,22
89,38,89_38,1904,2
7,26,7_26,1300,6
57,75,57_75,3702,2
9,42,9_42,2100,5
62,48,62_48,2403,12
22,55,22_55,2701,10
8,4,8_4,200,14
70,72,70_72,3603,2
54,44,54_44,2202,14
32,13,32_13,601,6
93,23,93_23,1104,10
45,85,45_85,4202,5
70,7,70_7,303,5
56,79,56_79,3902,5
81,87,81_87,4304,5
11,99,11_99,4900,24
32,25,32_25,1201,14
81,71,81_71,3504,9
71,67,71_67,3303,13
7,10,7_10,500,4
47,97,47_97,4802,3
50,13,50_13,602,4
26,96,26_96,4801,2
7,64,7_64,3200,5
99,76,99_76,3804,7
91,42,91_42,2104,4
33,87,33_87,4301,4
88,57,88_57,2804,7
38,15,38_15,701,3
0,12,0_12,600,2
19,12,19_12,600,7
31,58,31_58,2901,6
44,76,44_76,3802,6
8,79,8_79,3900,8
91,68,91_68,3404,3
23,77,23_77,3801,8
50,20,50_20,1002,20
79,35,79_35,1703,2
44,14,44_14,702,7
38,72,38_72,3601,2
88,49,88_49,2404,3
52,81,52_81,4002,9
66,59,66_59,2903,11
46,18,46_18,902,8
49,19,49_19,902,4
12,90,12_90,4500,3
93,41,93_41,2004,4
88,18,88_18,904,13
10,55,10_55,2700,12
1,97,1_97,4800,6
73,27,73_27,1303,7
28,94,28_94,4701,8
43,83,43_83,4102,6
10,58,10_58,2900,1
13,13,13_13,600,3
33,77,33_77,3801,3
36,53,36_53,2601,6
12,38,12_38,1900,11
55,42,55_42,2102,7
62,61,62_61,3003,2
98,45,98_45,2204,1
98,38,98_38,1904,7
26,40,26_40,2001,30
28,88,28_88,4401,7
86,61,86_61,3004,5
17,55,17_55,2700,4
82,70,82_70,3504,10
51,57,51_57,2802,5
63,71,63_71,3503,4
97,91,97_91,4504,3
96,49,96_49,2404,5
19,99,19_99,4900,2
73,85,73_85,4203,7
8,66,8_66,3300,13
34,78,34_78,3901,3
83,72,83_72,3604,16
9,17,9_17,800,10
25,61,25_61,3001,3
50,93,50_93,4602,4
1,83,1_83,4100,7
76,12,76_12,603,5
24,61,24_61,3001,3
16,54,16_54,2700,5
70,87,70_87,4303,7
77,45,77_45,2203,4
16,52,16_52,2600,6
35,78,35_78,3901,1
88,66,88_66,3304,4
16,39,16_39,1900,7
42,98,42_98,4902,10
1,49,1_49,2400,13
96,29,96_29,1404,4
41,45,41_45,2202,5
11,70,11_70,3500,12
18,49,18_49,2400,10
22,46,22_46,2301,4
47,28,47_28,1402,3
31,3,31_3,101,5
38,36,38_36,1801,14
20,56,20_56,2801,8
77,70,77_70,3503,9
22,28,22_28,1401,9
2,19,2_19,900,11
2,14,2_14,700,3
61,56,61_56,2803,5
82,1,82_1,4,2
7,59,7_59,2900,3
80,94,80_94,4704,2
38,29,38_29,1401,4
37,75,37_75,3701,7
54,47,54_47,2302,5
88,8,88_8,404,8
92,56,92_56,2804,16
53,26,53_26,1302,4
64,99,64_99,4903,1
73,84,73_84,4203,3
78,39,78_39,1903,7
3,7,3_7,300,5
33,88,33_88,4401,7
71,54,71_54,2703,22
87,62,87_62,3104,3
86,67,86_67,3304,21
43,59,43_59,2902,5
43,14,43_14,702,11
22,13,22_13,601,23
40,58,40_58,2902,4
56,83,56_83,4102,10
78,22,78_22,1103,10
81,6,81_6,304,2
14,3,14_3,100,4
29,47,29_47,2301,3
9,37,9_37,1800,4
18,0,18_0,0,9
46,25,46_25,1202,8
3,16,3_16,800,3
74,46,74_46,2303,1
86,64,86_64,3204,12
91,59,91_59,2904,1
10,60,10_60,3000,6
87,85,87_85,4204,9
77,97,77_97,4803,5
67,58,67_58,2903,5
41,69,41_69,3402,4
36,29,36_29,1401,7
12,58,12_58,2900,5
33,28,33_28,1401,13
0,58,0_58,2900,6
91,39,91_39,1904,8
93,65,93_65,3204,5
44,19,44_19,902,5
22,66,22_66,3301,5
89,31,89_31,1504,8
95,55,95_55,2704,3
84,40,84_40,2004,16
57,41,57_41,2002,1
46,13,46_13,602,7
54,16,54_16,802,10
70,55,70_55,2703,10
31,14,31_14,701,4
6,0,6_0,0,6
25,22,25_22,1101,3
99,47,99_47,2304,1
39,70,39_70,3501,10
32,43,32_43,2101,5
81,31,81_31,1504,5
41,26,41_26,1302,11
5,79,5_79,3900,10
13,82,13_82,4100,6
9,3,9_3,100,9
58,15,58_15,702,3
81,88,81_88,4404,7
58,47,58_47,2302,9
45,6,45_6,302,13
99,80,99_80,4004,9
4,14,4_14,700,5
24,91,24_91,4501,7
95,41,95_41,2004,3
50,53,50_53,2602,14
66,8,66_8,403,4
33,0,33_0,1,4
94,5,94_5,204,29
16,82,16_82,4100,5
1,22,1_22,1100,12
90,43,90_43,2104,3
80,47,80_47,2304,4
93,8,93_8,404,15
89,41,89_41,2004,11
98,82,98_82,4104,3
93,99,93_99,4904,4
56,37,56_37,1802,5
14,91,14_91,4500,20
20,65,20_65,3201,5
97,94,97_94,4704,0
41,20,41_20,1002,7
65,81,65_81,4003,5
20,43,20_43,2101,1
60,46,60_46,2303,6
48,19,48_19,902,1
15,9,15_9,400,10
65,88,65_88,4403,14
82,38,82_38,1904,5
5,19,5_19,900,14
78,78,78_78,3903,20
7,32,7_32,1600,4
69,65,69_65,3203,9
32,65,32_65,3201,9
82,17,82_17,804,3
13,90,13_90,4500,7
57,52,57_52,2602,4
58,4,58_4,202,5
6,3,6_3,100,5
11,69,11_69,3400,8
82,69,82_69,3404,9
88,68,88_68,3404,10
56,28,56_28,1402,5
98,32,98_32,1604,13
33,7,33_7,301,10
35,13,35_13,601,3
75,90,75_90,4503,8
30,23,30_23,1101,6
43,78,43_78,3902,5
82,48,82_48,2404,10
33,43,33_43,2101,5
46,9,46_9,402,8
34,64,34_64,3201,4
77,60,77_60,3003,9
13,15,13_15,700,2
72,60,72_60,3003,2
87,10,87_10,504,16
84,3,84_3,104,3
